,field,comp_url
0,Frederiksberg,/company/bmw-group/
1,Information Technology & Services,/company/oracle/
2,Information Technology & Services,/company/accenture/
3,Computer Software,/company/microsoft/
4,Internet,/company/linkedin/
5,Food & Beverages,/company/nestle-s-a-/
6,Internet,/company/google/
7,Internet,/company/amazon/
8,Cosmetics,/company/lor%C3%A9al/
9,Frederiksberg,/company/copenhagen-business-school/
10,Consumer Goods,/company/colgate-palmolive/
11,Banking,/company/biat/
12,Banking,/company/zitouna-bank/
13,Banking,/company/amen-bank/
14,Management Consulting,/company/biatconsulting/
15,Banking,/company/bh-bank/
16,Banking,/company/ubci-groupe-bnp-paribas/
17,Banking,/company/uib/
18,Banking,/company/stb-bank/
19,Banking,/company/attijari-bank-tunisie/
20,Human Resources,/company/tunisie-travail-emploi/
21,Staffing & Recruiting,/company/tous-les-concours-de-la-tunisie/
22,Information Technology & Services,/company/ibm/
23,Automotive,/company/valeo/
24,Human Resources,/company/workosolutions/
25,Food Production,/company/land'or-sa/
26,Food Production,/company/vitalait-tunisie/
27,Food Production,/company/soci%C3%A3%C2%A9t%C3%A3%C2%A9-el-mazraa/
28,Civic & Social Organization,/company/tunisia-africa-businesscouncil/
29,Staffing & Recruiting,/company/quebec-en-tete/
30,Food Production,/company/poulina-group-holding/
31,Human Resources,/company/expert-manpower-%D8%B4%D8%B1%D9%83%D8%A9-%D8%AA%D9%88%D8%B8%D9%8A%D9%81-%D9%85%D9%86-%D8%AA%D9%88%D9%86%D8%B3/
32,Financial Services,/company/enda-tamweel/
33,"4,724 followers",/company/sahlilas/
34,Non-profit Organization Management,/company/uniceftunisie/
35,Sfax,/company/ecole-nationale-d-ing%C3%A9nieurs-de-sfax-enis/
36,Computer Software,/company/tuninfoforyou/
37,"4,679 followers",/company/saida-sotubi/
38,Oil & Energy,/company/total-industry/
39,Government Administration,/company/agence-nationale-pour-l%E2%80%99emploi-et-le-travail-ind%C3%A9pendant-aneti/
40,Staffing & Recruiting,/company/%D9%88%D8%B8%D8%A7%D8%A6%D9%81-%D9%81%D9%8A-%D8%AA%D9%88%D9%86%D8%B3/
41,Staffing & Recruiting,/company/%D9%88%D8%B8%D8%A7%D8%A6%D9%81-%D9%81%D9%8A-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1/
42,Staffing & Recruiting,/company/cvya/
43,Banking,/company/arab-bank/
44,Banking,/company/attijariwafa-bank/
45,Banking,/company/adcbofficial/
46,Banking,/company/cihbank/
47,Telecommunications,/company/etisalat/
48,Telecommunications,/company/tunisie-t-l-com/
49,Telecommunications,/company/ooredoo-group/
50,Insurance,/company/assurances-comar-&-hayett/
51,Financial Services,/company/advans-tunisie/
52,Information Technology & Services,/company/hp/
53,Capital Markets,/company/bourse-r%C3%A9gionale-des-valeurs-mobili%C3%A8res-brvm---uemoa/
54,Telecommunications,/company/postetunisienne/
55,Human Resources,/company/4recruteee/
56,Legal Services,/company/canada-job/
57,Banking,/company/bank-abc/
58,Banking,/company/bnalgerie/
59,Computer Software,/company/bfigroupe/
60,Investment Banking,/company/attijari-securities-central-africa/
61,Management Consulting,/company/deloitte/
62,Financial Services,/company/hsbc/
63,Banking,/company/credit-suisse/
64,Banking,/company/societe-generale/
65,Chemicals,/company/bayer/
66,Information Technology & Services,/company/sogeti/
67,Staffing & Recruiting,/company/allegis-group/
68,Information Technology & Services,/company/altran/
69,Facilities Services,/company/sodexo/
70,Staffing & Recruiting,/company/hays/
71,Information Technology & Services,/company/devoteam/
72,Sports,/company/national-football-league/
73,"Philadelphia, PA",/company/the-wharton-school/
74,Information Technology & Services,/company/alten/
75,Banking,/company/uob/
76,Information Technology & Services,/company/sii/
77,Banking,/company/oddo-bhf/
78,Information Technology & Services,/company/gfiworld/
79,Oil & Energy,/company/qatarpetroleum/
80,Online Media,/company/cnn-business/
81,Newspapers,/company/the-wall-street-journal/
82,Writing & Editing,/company/les-echos/
83,Publishing,/company/the-economist/
84,Hospitality,/company/anantara-hotels-resorts-and-spas/
85,Oil & Energy,/company/iota-group/
86,Media Production,/company/ted-conferences/
87,Broadcast Media,/company/bfm-business/
88,Newspapers,/company/capital-fr/
89,Tunis,/company/universit%C3%A9-de-tunis/
90,Oil & Energy,/company/shell/
91,Non-profit Organization Management,/company/unicef/
92,Automotive,/company/tata-motors/
93,International Affairs,/company/united-nations-volunteers/
94,Human Resources,/company/jobbermannigeria/
95,Insurance,/company/ami-assurances/
96,Human Resources,/company/stagiaires-ma/
97,Staffing & Recruiting,/company/stage-ma/
